original_title,original_summary,paraphrased_summary
"Jeremy Bowen: Trump's Gaza plan won't happen, but it will have consequences","The US president creates uncertainty and injects more instability, our international editor writes.","The US VICE CREATING UNCERTAINTIES and INJECTING more UNREST , our NATIONAL EDITOR WRITER ."
'Studio sex' and 'hitman threats': Insiders speak out about Diddy's 90s music empire,"Bad Boy Records staff claim troubling incidents in the rise of the rap mogul, now fighting sex trafficking charges.","BAd Boy Records STAFF CLAIMS DISCONCERTING DEATHS in the DECLINE of the rAP MOGULS , now FIght PORN TRAFFICKING CHARGE ."
"Jeremy Bowen: Trump's Gaza plan won't happen, but it will have consequences","The US president creates uncertainty and injects more instability, our international editor writes.","The US VICE GENERATES UNCERTAINTIES and INJECTED more INSTABILITIES , our GLOBAL EDITORS COLUMNIST ."
Sweden mourns after deadliest shooting as gunman details emerge,Police say they have identified the gunman but will not publish his name yet or those of victims.,POLICEMEN say they have IDENTIFIES the GUNMEN but will not PUBLISHED his name yet or those of PERPETRATORS .
Strong earthquake near Santorini after days of tremors,"More than 11,000 people have already left the island of Santorini in recent days.","More than 11,000 OTHERS have already LEFT the ISLANDS of Santorini in RECENT DAy ."
'Studio sex' and 'hitman threats': Insiders speak out about Diddy's 90s music empire,"Bad Boy Records staff claim troubling incidents in the rise of the rap mogul, now fighting sex trafficking charges.","TERRIBLE Boy Records STAFF CLAIMING UNSETTLING DEATHS in the DECLINE of the RAPPER MOGUL , now BATTLE TEEN PROSTITUTION FEES ."
"More than 100 women raped and burned alive in DR Congo jailbreak, UN says","As M23 rebels entered Goma and the city was plunged into chaos, female prisoners were attacked, the UN says.","As m20 REBEL OPENED Goma and the CIty was PLUMMETED into CHAOTIC , MALES DETAINEES were KILLED , the UN EXPLAINS ."
South Korea orders airports to install bird detection cameras,The directive comes as investigators focus on bird strike as one of the causes for December's deadly plane crash.,The DIRECTIVES MAkes as INVESTIGATING emPHAsis on BIRD ATTACK as one of the CAUSES for December 's DEADLY PLANE CRASHING .
Protesters set fire to ex-Bangladesh PM's family home,It was sparked by news Sheikh Hasina would address the country via social media from exile in India.,It was SPARKED by ARTICLES Sheikh Hasina would ADDRESS the worLd via CULTURAL JOURNALISM from BANISHMENT in India .
Google joins firms dropping diversity recruitment goals,U-turn by the former diversity champion comes as major companies face pressure to drop the policies.,Ä° --- THen by the former Biodiversity CHAMPIONS MAkes as IMPORTANT FIRMS FACES flOw to DROP the POLICIES .
Trump signs order banning transgender women from female sports,"He says the move, which covers non-elite levels, restores fairness but human rights advocates have condemned it.","He SAYING the move , which COVERAGE nO - PRESTIGE INCREASES , REVITALIZES FAIRNESS but HUMANITY CIVIL ADVOCATE have CONDEMNING it ."
BBC Verify: Can Trump really take ownership of Gaza?,"BBC Verify examines international law to understand if the US has the authority to ""take over"" the Gaza Strip.","BBC Verify INVESTIGATES GLOBAL LAWs to knOw if the US has the RESPONSIBILITY to "" take over "" the Gaza Strip ."
'We won't go out of Gaza': Palestinians express shock and defiance at Trump plan,Palestinians are calling on Jordan and Egypt to hold out against US pressure to take in displaced Gazans.,Palestinians are CaLL on Jordan and Egypt to HOLDS out against US TENSION to take in RESETTLED israelies .
Why does Trump want to take over Gaza and could he do it?,The president's vision for a Gaza under US control could upend the future of Middle East relations.,The PRESIDENT 's eYe for a Gaza under US SYSTEM could Upends the POSSIBLE of Middle East RELATIONS .
Analysis: Trump's real-estate instincts clash with his America First worldview,"This isn't the first time he has seen a foreign policy problem as a business opportunity, writes Anthony Zurcher.","This is n't the first DAy he has THere a COUNTRIES REFORM TROUBLE as a BUSINESSES ABLE , AUTHOR Anthony Zurcher ."
Gaza in maps: How 15 months of war have drastically changed the territory,A visual guide to how much has changed in the Gaza Strip since Israel began its military response to Hamas's attacks on 7 October.,A VISUALS GUIDES to how much has CHANGES in the Gaza Strip since Israel STARTED its SOLDIERS RESPONSES to Hamas 's ATTACKED on 7 October .
'I'm alive thanks to US foreign aid',The BBC speaks to people around the world who will be affected if Donald Trump shuts the US's main overseas aid agency.,The BBC SPEAKING to PEople around the NATION who will be AFFECT if Donald Trump SHUTS the US 's PArt OVERSEAS ASSIST AUTHORITY .
Trump ally Musk is remaking government - but will they clash?,"Musk has emerged as a dominant force in Trump's second term, gutting an agency and issuing ultimatums to staff.","Musk has REMAINED as a DOMINATING FORCE in Trump 's SECOND TERMS , GUTTED an AGENCY and ISSUED PROVOCATIONS to EMPLOYEES ."
What do we know about the Sweden school shooter?,"Local media suggest the 35-year-old legally owned a weapon, was unemployed and had no convictions.","BUSINESSES SOCIAL SUGGEST the 35 - MONTHS - YEARs legally OPERATED a GUN , was UNEMPLOYED and had no FELONY ."
Johannesburg revival: Bringing hope to one of world's most dangerous cities,"Johannesburg is known as a dangerous city, but some people are working to change that reputation.","Johannesburg is aS as a DANGEROUS TOWN , but some OTHERS are worK to CHANGE that REPUTATIONS ."
"First glimpse inside burnt scroll after 2,000 years",The document charred by the eruption of Mount Vesuvius is being 'unwrapped' using X-ray scans and AI.,The FILE CHARRED by the VOLCANO of Mount Vesuvius is being ' UNWRAPPED ' using cM --- DvD SCAN and AI .
Protesters torch ex-Bangladesh PM's home,"It comes as Sheikh Hasina, who was ousted in protests last year, announced she would address the country via social media from India.","It BRINGS as Sheikh Hasina , who was DEPOSED in PROTESTORS last MONTHS , ANNOUNCES she would ADDRESS the worLd via SOCIETY MEDIA from India ."
BBC Verify: Can Trump really take ownership of Gaza?,"BBC Verify examines international law to understand if the US has the authority to ""take over"" the Gaza Strip.","BBC Verify DISCUSSES INTERNATIONAL STATUTE to UNDERSTAND if the US has the JURISDICTION to "" take over "" the Gaza Strip ."
'I don't think people should go back there' - Trump's plan for Gazans after war,The US President was speaking during a visit from Israeli prime minister Benjamin Netanyahu,The US President was SPEAKS during a VISITING from LEBANESE GOVERNMENT MINISTERS Benjamin Netanyahu
Moment tiger and boar rescued from well in India,Officials say the unlikely pair fell into the water when the tiger was chasing the boar.,LAWMAKERS say the LIKELY PAIRED DROPPED into the SAlt when the TIGERS was CHASE the PHEASANT .
Ros Atkins on...What is the US getting out of tariffs?,The BBC's Analysis Editor takes a look at the latest round of tariffs announced by President Trump - and what the US has got in return.,The BBC 's Analysis Editor GOES a LOOKING at the LASTEST STRAIGHT of TARRIFFS ANNOUNCE by President Trump - and what the US has GOt in RETURN .
